,Unnamed: 0,event_source.hash,ONNET_OUTGOING_Categorical,ONNET_OUTGOING_Scaled,ONNET_OUTGOING_Outlier,ONNET_INCOMING_Categorical,ONNET_INCOMING_Scaled,ONNET_INCOMING_Outlier,OFFNET_OUTGOING_Categorical,OFFNET_OUTGOING_Scaled,OFFNET_OUTGOING_Outlier,OFFNET_INCOMING_Categorical,OFFNET_INCOMING_Scaled,OFFNET_INCOMING_Outlier,IDD_INCOMING_Categorical,IDD_INCOMING_Scaled,IDD_INCOMING_Outlier,IDD_OUTGOING_Categorical,IDD_OUTGOING_Scaled,IDD_OUTGOING_Outlier,Peo_TV_Package,PEO_TV_Categorical,PEO_TV_Scaled,BB_Categorical,BB_Scaled,Location_Identifier,ONNET_Overall_Categorical,OFFNET_Overall_Categorical,IDD_Overall_Categorical,VOICE_Categorical,Play_Type,Play_Usage,Voice_Packages,Other_Packages,Household_Types,Having_Insurance,Cluster
2820,2820,d93d9a777696f0a154757d15dd5f2a07,LOW,0.007579474097331238,NO,LOW,0.003777472527472528,NO,LOW,0.01238716640502355,NO,LOW,0.006720957613814757,NO,NO,0.0,NO,NO,0.0,NO,PEO_SILVER,LOW,0.0625,LOW,0.08333333333333333,MSAG5200-ISLMT-AVR-NODE467161,LOW,LOW,NO,LOW,TRIPLE_PLAY,"['VOICE_LOW', 'BB_LOW', 'TV_LOW']",NO,NO,NO,NO,0
2821,2821,d941fa242f8b15472a42d5de284e842f,MEDIUM,0.12465659340659342,NO,LOW,0.05065247252747253,NO,MEDIUM,0.1043710753532182,NO,MEDIUM,0.10009484563055993,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,LOW,0.0642361111111111,MSAG5200-ISLPC-AGT-NODE480031,LOW,MEDIUM,NO,MEDIUM,DOUBLE_PLAY,"['VOICE_MEDIUM', 'BB_LOW', 'TV_NO']",NO,NO,NO,NO,0
2822,2822,d94230487520e82186f71a02f43c791e,MEDIUM,0.1344436813186813,NO,LOW,0.07984203296703297,NO,LOW,0.05205062794348509,NO,LOW,0.09853316326530613,NO,MEDIUM,0.11057692307692307,YES,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLSI-DWS-NODE520721,LOW,LOW,LOW,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2823,2823,d945bb002a184f480bdfe68c4b640045,MEDIUM,0.10628434065934064,NO,MEDIUM,0.12860576923076922,NO,MEDIUM,0.09595761381475668,NO,LOW,0.08148547880690736,NO,LOW,0.01282051282051282,NO,NO,0.0,NO,PEO_ENTERTAINMENT,HIGH,1.0,LOW,0.2777777777777777,MSAG5200-ISLHNT-NODE423851,MEDIUM,LOW,LOW,LOW,TRIPLE_PLAY,"['VOICE_LOW', 'BB_LOW', 'TV_HIGH']",NO,NO,['Kids'],NO,1
2824,2824,d964163121b7fcb1e82be8fa4263171c,MEDIUM,0.12176216640502352,NO,MEDIUM,0.1560782967032967,NO,NO,0.0,NO,LOW,0.005347331240188382,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,LOW,0.328125,MSAG5200-ISLVA-NKM-NODE481961,MEDIUM,LOW,NO,MEDIUM,DOUBLE_PLAY,"['VOICE_MEDIUM', 'BB_LOW', 'TV_NO']",NO,NO,NO,NO,2
2825,2825,d96d36e4be0fb183ddc3f73d78dd8f72,MEDIUM,0.15911989795918366,NO,MEDIUM,0.09306318681318684,NO,MEDIUM,0.0807986656200942,NO,LOW,0.09325941915227627,NO,MEDIUM,0.1746794871794872,YES,LOW,0.019230769230769232,NO,NO,NO,0.0,LOW,0.2378472222222222,MSAG5200-ISLND-PHG-NODE500241,MEDIUM,LOW,LOW,LOW,DOUBLE_PLAY,"['VOICE_LOW', 'BB_LOW', 'TV_NO']",NO,NO,NO,NO,0
2826,2826,d96f278929ac24f5ce5cfb27eaedb22b,LOW,0.02291012558869701,NO,LOW,0.008241758241758242,NO,LOW,0.003605769230769232,NO,LOW,0.013221153846153846,NO,LOW,0.009615384615384616,NO,NO,0.0,NO,PEO_UNNATHAM,NO,0.0,NO,0.0,MSAG5200-ISLND-PHG-NODE500241,LOW,LOW,LOW,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2827,2827,d974f075fd178127e452bffe6a92c920,MEDIUM,0.20913461538461536,NO,MEDIUM,0.2664835164835165,NO,MEDIUM,0.14283261381475668,NO,MEDIUM,0.24796408948194665,NO,HIGH,0.4439102564102564,YES,HIGH,0.5096153846153846,YES,NO,NO,0.0,NO,0.0,MSAG5200-ISLMV-GDM-NODE482491,MEDIUM,MEDIUM,HIGH,MEDIUM,SINGLE_PLAY,"['VOICE_MEDIUM', 'BB_NO', 'TV_NO']",NO,NO,['Family_Member_Abroad'],NO,0
2828,2828,d999b470b1c6d77954dc0dc57a98dbc8,LOW,0.0013736263736263735,NO,LOW,0.0025755494505494505,NO,NO,0.0,NO,LOW,0.003777472527472528,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLND-PHG-NODE500241,LOW,LOW,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2829,2829,d9a0f2e3be850d7f110dbba964b98c48,MEDIUM,0.1371173469387755,NO,MEDIUM,0.2644230769230769,NO,LOW,0.06924548665620095,NO,MEDIUM,0.1831583594976452,NO,MEDIUM,0.2948717948717948,YES,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200PH-AKG-NODE431631,MEDIUM,LOW,LOW,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2830,2830,d9a1ca363083672d7ba6409f37357d69,LOW,0.05877158555729985,NO,LOW,0.04601648351648351,NO,LOW,0.046408948194662486,NO,LOW,0.03725143903715332,NO,MEDIUM,0.17628205128205127,YES,NO,0.0,NO,PEO_SILVER_PLUS,HIGH,1.0,HIGH,0.9166666666666666,MSAG5200PH-AKG-NODE431631,LOW,LOW,LOW,LOW,TRIPLE_PLAY,"['VOICE_LOW', 'BB_HIGH', 'TV_HIGH']",NO,NO,"['Kids', 'Professional_or_Student']",NO,1
2831,2831,d9afc9cd96c10353e6caf91e742c42be,LOW,0.017979788069073785,NO,LOW,0.023523351648351645,NO,LOW,0.02283653846153846,NO,LOW,0.06872220041862899,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,C300MHE-DMD-NODE15221561,LOW,LOW,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2832,2832,d9b6298766ea7171291dabc0bfd9dd8d,MEDIUM,0.1027031004709576,NO,MEDIUM,0.2822802197802198,NO,MEDIUM,0.1343210361067504,NO,MEDIUM,0.1135449372056515,NO,NO,0.0,NO,NO,0.0,NO,PEO_SILVER,HIGH,1.0,NO,0.0,C300MNW-MEE-NODE18887751,MEDIUM,MEDIUM,NO,MEDIUM,DOUBLE_PLAY,"['VOICE_MEDIUM', 'BB_NO', 'TV_HIGH']",NO,NO,['Kids'],NO,1
2833,2833,d9bf78ee0c956c1dae8c782b93e4a77d,MEDIUM,0.22245388540031394,NO,MEDIUM,0.2029532967032967,NO,LOW,0.015992935635792783,NO,LOW,0.08142006802721087,NO,LOW,0.07852564102564104,YES,NO,0.0,NO,NO,NO,0.0,LOW,0.21354166666666666,MSAG5200-ISLMV-GDM-NODE482491,MEDIUM,LOW,LOW,LOW,DOUBLE_PLAY,"['VOICE_LOW', 'BB_LOW', 'TV_NO']",NO,NO,NO,NO,0
2834,2834,d9d1b488588cc96a7b5fab327a026f5b,MEDIUM,0.20687794348508634,NO,MEDIUM,0.2319711538461538,NO,MEDIUM,0.2844633045525903,NO,MEDIUM,0.16883339874411304,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLMT-AVR-NODE467161,MEDIUM,MEDIUM,NO,MEDIUM,SINGLE_PLAY,"['VOICE_MEDIUM', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2835,2835,d9f57e2dfadee74f1bc968513e2ad476,MEDIUM,0.13652864992150707,NO,MEDIUM,0.1341002747252747,NO,HIGH,0.3222625588697017,NO,MEDIUM,0.17653551805337514,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLWKN-SWP-NODE473481,MEDIUM,HIGH,NO,MEDIUM,SINGLE_PLAY,"['VOICE_MEDIUM', 'BB_NO', 'TV_NO']","['V_Call holding', 'V_Incoming Call Memory', 'V_Incoming Call Transfer', 'V_Call Forwarding by time', 'V_Call Transfer Three way', 'V_Outgoing Call Memory', 'V_Call Forwarding Offline']",NO,NO,NO,0
2836,2836,da3ad8a1b8fb2092eb6cd2720033c7f9,LOW,0.03166699372056515,NO,LOW,0.026098901098901096,NO,LOW,0.06610576923076923,NO,LOW,0.048559327577184716,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200MGE-NODE428381,LOW,LOW,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2837,2837,da7079682cce6fe25a7b4227673e26a8,MEDIUM,0.14732142857142858,NO,MEDIUM,0.15745192307692304,NO,LOW,0.023204474097331243,NO,LOW,0.04274594453165882,NO,LOW,0.07692307692307691,YES,LOW,0.00641025641025641,NO,NO,NO,0.0,MEDIUM,0.6319444444444444,MSAG5200-ISLMV-GDM-NODE482491,MEDIUM,LOW,LOW,LOW,DOUBLE_PLAY,"['VOICE_LOW', 'BB_MEDIUM', 'TV_NO']",NO,NO,NO,NO,2
2838,2838,da7b90e46c9e5d7a73a5b482040c113d,LOW,0.051118524332810056,NO,LOW,0.005322802197802198,NO,LOW,0.037259615384615384,NO,LOW,0.008781397174254317,NO,NO,0.0,NO,LOW,0.014423076923076926,NO,PEO_SILVER,LOW,0.28125,LOW,0.203125,MSAG5200-ISLMV-GDM-NODE482491,LOW,LOW,LOW,LOW,TRIPLE_PLAY,"['VOICE_LOW', 'BB_LOW', 'TV_LOW']",NO,NO,NO,NO,0
2839,2839,da8cd64718a1c82857fd3c4950da6015,MEDIUM,0.08256475667189953,NO,LOW,0.04739010989010988,NO,LOW,0.07959674254317113,NO,MEDIUM,0.11791110675039247,NO,NO,0.0,NO,NO,0.0,NO,PEO_SILVER,NO,0.0,NO,0.0,MSAG5200-ISLBZ-NODE435881,LOW,LOW,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2840,2840,da910d15d0505e1a23fc00f75c186553,MEDIUM,0.09536891679748824,NO,MEDIUM,0.20552884615384606,NO,MEDIUM,0.10547488226059656,NO,MEDIUM,0.2393789246467818,NO,NO,0.0,NO,NO,0.0,NO,PEO_SILVER,MEDIUM,0.59375,LOW,0.14756944444444445,MSAG5200-ISLBZ-NODE435881,MEDIUM,MEDIUM,NO,MEDIUM,TRIPLE_PLAY,"['VOICE_MEDIUM', 'BB_LOW', 'TV_MEDIUM']","['V_Hotline-Immediate', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Hotline Service', 'V_Call Forwarding-No Answer', 'V_Hotline-Time Delayed']",NO,NO,NO,1
2841,2841,daab8a6bb015df2cfe1636870fa230d5,MEDIUM,0.08928571428571433,NO,MEDIUM,0.12620192307692307,NO,LOW,0.019598704866562008,NO,LOW,0.08016908686551544,NO,NO,0.0,NO,NO,0.0,NO,PRANAMA,MEDIUM,0.40625,LOW,0.041666666666666664,MSAG5200-ISLMT-AVR-NODE467161,MEDIUM,LOW,NO,MEDIUM,TRIPLE_PLAY,"['VOICE_MEDIUM', 'BB_LOW', 'TV_MEDIUM']",NO,NO,NO,NO,0
2842,2842,daaf007efd87fa34ae726d86f0407580,LOW,0.0015698587127158554,NO,LOW,0.001201923076923077,NO,LOW,0.010817307692307692,NO,LOW,0.003777472527472528,NO,NO,0.0,NO,NO,0.0,NO,PEO_SILVER,NO,0.0,NO,0.0,MSAG5200PH-AKG-NODE431631,LOW,LOW,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",['V_Installment'],NO,NO,NO,0
2843,2843,dae07b1d97979d6d5150970dbef9b2fb,LOW,0.0207760989010989,NO,LOW,0.01734203296703296,NO,LOW,0.0699813579277865,NO,LOW,0.05743884092098377,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200BG-NODE431391,LOW,LOW,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2844,2844,dafe87a4d64710503135ad62549c71ce,LOW,0.05837912087912087,NO,LOW,0.026098901098901096,NO,LOW,0.014423076923076926,NO,LOW,0.01820054945054945,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLND-PHG-NODE500241,LOW,LOW,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']","['V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting']",NO,NO,NO,0
