,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT,GB_AMOUNT
Month_Subscribed,2019-01,2019-02,2020-11,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08
ACCOUNT_NUM.hash,,,,,,,,,,
1cf3f313f1060c69dfe814a0e8124f18,0,0,0,0,0,0,0,1,1,0
1d18f77c7b80c29612dac66935cf1f13,0,0,0,0,0,0,1,0,0,0
1d37487e1a255b2fc890ba502613af24,0,0,0,0,0,0,0,5,5,0
1dbf9f5093d230ffb1fc22b00ea0bc93,0,0,0,0,1085,10109,10105,0,0,0
1e317134b50ea5043ebdc3f75d1cde8d,0,0,0,1,0,11,0,0,0,0
1f17a575b6a52725ff5e26614b0cf1be,0,0,0,0,0,0,0,1,1111111,0
1f67a05e8130b7b454fd076750ff44b5,0,0,0,1111111,1111111111111111,511111111111115111111111111,11111111111111111111111111111,111111111111111111111111111111111111,11111111111111111111111111111,0
1f94d46ef3f01af42a42dadaaf9163ae,0,0,0,0,55,5,552,0,2,0
1ff2bd293b3cdb076dc841f4344a7631,0,0,0,0,0,0,0,0,15,0
20fac8de11078e10865f68ccaebc4d0b,0,0,0,3,0,0,0,5,0,0
20fc09387c11895490ee4d08bb2502d9,0,0,0,0,0,0,211,0,0,0
210dcb248ee4c4826bb2aa0a6b1a9c91,0,0,0,0,0,0,0,2,0,0
21354ff80f2eebde68a883fd3ad2583e,0,0,0,0,0,0,0,10,0,0
214cbb1651fa329cf02ef1821fc0e44e,0,0,0,0,21121,5511111,2,0,22,0
21895a35d769c7c82eaf44166fc8918c,0,0,0,0,0,0,0,1,0,0
21ae95c42acca22030b997bca02c0f28,0,0,0,11,811113321,101531,56652111,5616521,5533212112312,0
21e2a94960106171ac59b4a319087d42,0,0,0,0,5,5,62,6,5,0
22b0834e2718881d70660c1e1201895a,0,0,0,0,0,5,2055,0,5,0
22cf709d30168c38d475974124ed3dd2,0,0,0,0,0,0,13,1,1,0
231188ceac9e1917754819af84b1456e,0,0,0,0,0,0,0,55,0,0
234d44e8bbf0d9a74f95de6c37db5b43,0,0,0,0,105,0,105,0,105,0
235fc8a364ad42cf6c021b75e1eba3c3,0,0,0,0,0,0,0,10,2035,0
23b8dcc156cd6c00287efd88ae321631,0,0,0,11,0,510111111111111,0,0,0,0
23c42a198e78b3c852f71ca46acbbc35,0,0,0,0,0,0,0,1,0,0
23fc6e16b1bbdaeae5cfacfc82e91dbc,0,0,0,0,757575757575757575757575757575757575757575757575757575757575757575757575,75757575757575757575,757575757575,75757575,7575757575757575757575757575757575757575,0
2410650dfda5812a8a781bffc2ae56cd,0,0,0,0,1,0,0,0,0,0
249f222a06a79be79b6c58a436efedbb,0,0,0,1,0,21,22,21,2,0
258c0817bf2983a3b0979e58c18db8ef,0,0,0,0,0,0,0,5,0,0
25e6e2871bd9e32697f383a060b5dc52,0,0,0,2,222,25,32,1535222,52555,0
26fa4a17cd478fcf33c1abb76c473b4b,0,0,0,20,1010,0,0,10,5,0
2740366fe8e8525e4734076ed2c55b74,0,0,0,0,0,5,0,105,0,0
276ed6852f3e00ab8a3486fe88ce73ca,0,0,0,0,0,0,0,10,0,0
287cde10ae103ec451caeb0d47b7575c,0,0,0,5,55,0,555,5,5555,0
28f6fc012e1d387862d34a02c4a6d278,0,0,0,521,552,0,53222522222222,2,155,0
294456c6cdbead87967904c0963f8add,0,0,0,0,1,2,15,0,0,0
2a060fe8c46e824806ae9550c89c4375,0,0,0,0,0,105,0,0,105,0
2a3defd31d0d00ec39286695766c38ed,0,0,0,0,0,1,0,0,0,0
2a63c5795001181800ea133a0068e2d6,0,0,0,5,0,0,3,5,0,0
2a754752a65696b63963569c4556e2c6,0,0,0,0,0,5555,5,0,0,0
2a9df80810bc200c1ad3613d8eefd53f,0,0,0,0,0,2,0,0,0,0
2b60f8ffb99f7932ee00cdd291fb1dd5,0,0,0,5,66,6611111,111,51,112,0
2d3c09ba08e6a70dbc5988cbbb2fa115,0,0,0,0,0,0,0,85525,1086553,0
2e3aeb5561f7a9f02cc4d22b74c98a53,0,0,0,0,0,0,5,0,0,0
2e8d1449aa1c031fcf497e6f848e9a4b,0,0,0,3,0,2,2,3,0,0
2ea6c5e59c02744c036fe8ff6cccfb7c,0,0,0,201510,20610,5,85,1510,2015655,0
2eca1f684f6a5d6037f9f76c3e291324,0,0,0,0,0,0,0,5,0,0
2eda8f5eed84231508079b78895a75b3,0,0,0,0,0,2,2222525173532,555555,5557101051051055,0
2f1d40b423aef707a108ca02c1969510,0,0,0,0,0,0,1,0,33,0
2f1d8e2ad12e57fce4419845e23ddcbd,0,0,0,0,0,0,0,123,0,0
2f60b16e58320a419a9b19d502ff7701,0,0,0,0,0,0,63,0,0,0
2f95113e6a986aca6f8eaf90196e50d2,0,0,0,5,5,0,5,0,0,0
317d85dea9d40aa4ab874731fd56b82f,0,0,0,0,0,1,0,0,0,0
31f61faadf026ebd5d89be8d332d3113,0,0,0,0,0,5,105,101,552,0
324b619c08188c4cdfd0b18390013049,0,0,0,0,0,21,2,0,0,0
32547b6376b7e9f42c2328076332b743,0,0,0,0,10,0,5555555,55555,555,0
32e55deb720baed33e5f03a2edae6039,0,0,0,111111,2,1,1,0,0,0
335ad0977174a6b25d969a808106263b,0,0,0,0,0,0,0,1,11111,0
339627aadb955f00a953471ac69a1a95,0,0,0,0,0,1,0,1,0,0
365e4d4f6d27f2618dcc8b09eab41d92,0,0,0,0,2020,0,0,0,0,0
36c5d6f6aff119277c77f9c07246496e,0,0,0,0,0,0,0,3,0,0
370388c74ac6c26daab046792aec7769,0,0,0,2,0,0,0,0,0,0
3733b1efdecf111a1a7114bd885643ef,0,0,0,0,0,0,10,5,0,0
377b852bac7b15a7d75adb2e487e85c8,0,0,0,0,54,0,0,0,0,0
38119c23796467cc2d581d10fba0f7e0,0,0,0,20,0,0,20,0,0,0
38b2614973f3729c7c0afcf96f3e6657,0,0,0,22,512,521,2252525105223,225,22222111,0
39218522cdcd2fab4981794911fcb80d,0,0,0,0,0,0,41,1122,0,0
3a0e07cdc0c5d3e1fdbb8bad63b62ea5,0,0,0,0,0,21,0,0,5222,0
3a525bd045baa04a397409dae0cdebe0,0,0,0,0,0,0,0,1,1,0
3a5d18f9869154219008b298d466fe88,0,0,0,5,0,0,10,1010,1010,0
3b1f1becd16d2927812a4f3f5e1f580b,0,0,0,1,115,511,0,1,0,0
3b33dd056246fe33bae06f2dfc9e0426,0,0,0,55,5,0,5552,22,1111,0
3bc61b93cea92e9c79c8eb1a07f8c5c5,0,0,0,0,0,5,10,0,1010,0
3bde4ff74b0a8852847af576b81d4e15,0,0,0,510102,103421,1,322222223,102102,1025105,0
3c54a3960f64f7ff42001d9f9a6ff6e9,0,0,0,55,0,5,555,0,0,0
3c7eace1f13dcc079b522d213e440cc8,0,0,0,0,111,5,0,1,5,0
3d5d7bdef5e9d898cee6ed80e410801c,0,0,0,0,0,0,0,0,20,0
3db651a2a334c57fdd44f73602d5a9f6,0,0,0,0,0,0,0,25103,10,0
3dc55e72ed522836925b806a91d8dedd,0,0,0,105,10555,10,1010101010,101010,0,0
3e22148c54ddd8e19c3fdbf7c3dce200,0,0,0,0,0,11,105,155,55,0
3e3066c57fdadc381bb9e0e603b5b411,0,0,0,0,0,0,0,1,0,0
3e95dd47b2766c3c53304580e84bcb58,0,0,0,0,0,0,1010,10,0,0
40b83b2408241641beda57ccda54ea1f,0,0,0,10,0,0,10102,105,0,0
41a4427b194c0f2705fd69ab3874b7b5,0,0,0,532,12,0,0,0,0,0
42b90109a2d00e2229e421ca1e4a8f8f,0,0,0,1,11,0,0,1,11,0
42c1b2886070be82b961acee7c05544f,0,0,0,0,1,0,1,0,0,0
42e246b6d9784f6480d686cb715ace37,0,0,0,2,0,0,53,311,0,0
4331912302921124842662df944ba046,0,0,0,0,0,0,1,0,0,0
434555d3b0229289fd08ae8d64c55148,0,0,0,0,0,0,0,0,10,0
437d53cd2cba11d254dbcf4fefd84d4a,0,0,0,0,0,11,61,0,0,0
439a57bb967c988af3902e8454d634a1,0,0,0,5,1055,0,0,0,0,0
44224bc1e2e7101c90bbad70dbcc5a6c,0,0,0,5,51,0,5,1012151,551525,0
444ee3c3af704aef3b5a827671731f44,0,0,0,5,0,5,5151,1111111111111,1111111111,0
44d58c09643065f357d46358acbc36e1,0,0,0,0,0,0,10,0,0,0
4520c37b3625b1e8af30b51159e921dd,0,0,0,23,51,0,0,0,0,0
45c6303ce35d61897c423b4d61d952ac,0,0,0,25,0,5,45,23,5,0
479934bc992ead510eb362cf49ff1143,0,0,0,0,0,0,0,5,0,0
47d3bf8a16a965d3dd70df42c0b578fe,0,0,0,1111111,11,111,0,11,111111,0
47f57c31513c70d9e250a545daa81d66,0,0,0,0,10,2066,20120321,50,20,0
485ee8b61be97f3054ff23f8a8b58d15,0,0,0,0,0,0,221,1,11,0
488e1fcdb687d4745c863bf8df7b458f,0,0,0,0,5,3,0,1,1,0
49384555f99f8bbb2293dfec2d35cd9e,0,0,0,0,0,0,1,11,1,0
494de320778db98d7fa1751e8d60064c,0,0,0,63,775712,665,761,5,565,0
495df5121088ee1c479289e9ea749d09,0,0,0,5111111111111,1151111111111511111111111111111,111115151111111,1115111711211111111,111151111111211111111,20111111115521,0
4976d24f506c5c2418bee55d339714f4,0,0,0,0,434,5,0,53,5,0
49e35911791c4d8b5de0ce3e031d182d,0,0,0,511,51,11,11111111,115,151115,0
4a53c2f008c7fcb139a7f3b90e2b0f85,0,0,0,0,0,0,5,0,0,0
4a617237c13ef4e6f9d26d3dfbffa25b,0,0,0,0,0,0,212,0,2,0
4aadcfd5c6c1669a505b26de580633af,0,0,0,0,1,0,12111,555,1111,0
4b1f7bfd0aa9b296e1b62885043a0167,0,0,0,0,0,0,5,0,0,0
4b9b93f6ee97efcbef1390bc711c09fc,0,0,0,5,5,0,0,55,6,0
4c300d3b50d2c85c0386a11aef92281c,0,0,0,52,2,0,0,0,0,0
4c535a8e5f730c40e1abe423e0fcd77f,0,0,0,0,0,0,2,0,0,0
4c68d8194d71484592853da65e3c28a2,0,0,0,0,0,0,0,0,5,0
4c7a4769273c7a2eb4860a09f6376a70,0,0,0,55555,910571055512,1055510105555721,10595551010,351052,0,21299105951011111110951111
4c8b1ee698ad63a7ba672cb5779a951a,0,0,0,10,10,10555,1010105,105,105,0
4cf39fbb21dbb056669ee97086951856,0,0,0,0,0,0,0,1,1,0
4cf83d8277f8c1cd95199a342092e808,0,0,0,1152332,2,51,110101055102,101010101010525,10101010510,0
4dc580d935b3ea0e73a38c74abf31740,0,0,0,0,11,0,11,1,0,0
4e30072320e0cc5102516ac0f83dac32,0,0,0,0,0,5,0,0,0,0
4efc4cca6d2430af189003b839d52d35,0,0,1010,55,1051071,1056625,10108101044110205101,101515201015,11111,0
4f19598e79d431fdeb86579d366fa0e0,0,0,0,0,0,0,0,11,0,0
4f1ed566c9476815cfe56eab1c22ed05,0,0,0,0,0,0,511,0,1,0
4f9e71835299cc711ed7f61eeb94314f,0,0,0,0,0,0,155,5,5,0
500ab66d965c6ad74f2ffa6ec3dc9cfa,0,0,0,0,0,0,0,511,0,0
50cf8d74511fd6337cbef6cd5f8fb12d,0,0,0,0,0,0,0,25,10,0
51656811642244c0088c3a48c415acb4,0,0,0,1,51,0,0,0,0,0
51974e514429cf7cffba3a1f62ee736a,0,0,0,0,0,0,0,0,1,0
51c31971adcd522bea0b326c76d515b9,0,0,0,51,125,511151555,10101111,510,2555,0
52892a1587dd85e33010985297f133b9,0,0,0,1,1111,111,5,0,11111,0
52e7c04d12cb33c77031760584a9586e,0,0,0,0,56,5,2151010,75613,2510,0
52f37acebec960546afd04e336aeb34c,0,0,0,0,0,35,0,9,73,0
52fdf5e4239da1d7c06a258bc00bbc06,0,0,0,0,0,0,111,0,0,0
53c73c79df5d0cd35a0fb56bbb80f59f,0,0,0,0,0,5,51,5,5510,0
5500568d27e03f40acd5fa387619b65a,0,0,0,5,0,0,111,21121,32,0
552817c6f14cdd90e1174aa40355dd89,0,0,0,0,0,0,0,5555,1010,0
56627b488c93d1a8cb5e53950d9958b7,1,0,0,0,0,0,0,0,0,0
56923d44c388c23bb5574e13dabc4d19,0,0,0,1,5511,0,0,1,0,0
56b6ed37e0621100f8768b156fa7b14a,0,0,0,0,0,20,10,7,0,0
56d42c452d45cd049409581e0c576dd9,0,0,0,20,10,510,0,0,0,0
57dde03a9ea917461c536cce1b435c67,0,0,0,521,777107,0,11,21,62666,0
58731d05cb1202eee96142ae3c43185d,0,0,0,0,0,0,0,0,5,0
5881470c0ab60e6d4b789346b63687c9,0,0,0,0,553,5,0,55,0,0
59322724d5029e5667d19ae164cdc16d,0,0,0,151121,120309502352122,20201052,2052221520,2015501551,0,5201551510520510
59600c518e06137a7cfce173bb795123,0,0,0,0,10,0,0,0,0,0
599fd0ecd5d132bbc8dedae5818232c4,0,0,0,0,0,0,0,0,10,0
59e3494948116329f4c0eb70e5363c73,0,0,0,7,775,77,7775,55,0,0
5ac9d5e02406067f6cc31d5436a5a8fb,0,0,0,5525,10555555205,5510,5555555555,5555355525,5155555,0
5afd0594ef759a5f7510da09b07724c1,0,0,0,3,5532,2131,1735312221,1010553,5,0
5b21a377b6504b1c404781008aecf60a,0,0,0,0,0,221,112111221,111,1111,0
5b98378b8804001704df7820a3a2d56a,0,0,0,22112111,1211,1111,1111111111211111,11111111121111,12111121111,0
5bacfb2cce2c7b3de15a2a6abed7ab81,0,0,0,0,3,551,2101052,52,0,0
5bc8f4caad0c82624d8ba7b0e0ddd84e,0,0,0,0,0,0,0,5,0,0
5bce7e5f4bd3639566ba38db29e8ba01,0,0,0,0,0,0,111,111,11,0
5c6d01e13b1f9a8352527d4f107dbf24,0,0,0,0,0,0,0,0,5,0
5cedf96edfc7db66c38050881ba3edf0,0,0,0,0,0,23,15622,0,5,0
5d853feeb09048ff7abde29cbaa8ec51,0,0,0,22555222,55212322322,15355545351354535,0,0,0,0
5d86d5152fad3c859e16a78c0ce1074d,0,0,0,0,0,0,55,555,5,0
5d94a1b8d297860a43e1ddc0293278cf,0,0,0,0,0,10,5,0,101015,0
5d9dca5108d2a8cffb365bf0c9b8d458,0,0,0,0,0,15,15,15,0,0
5dca0a71aafae66d0aa373f80d97edeb,0,0,0,0,13,0,0,0,0,0
5e25bfb26999836c25caf0541e46bc8c,0,0,0,0,0,0,103,55,1,0
5e74b081e1bae8881cd10aa67fd684e9,0,0,0,0,0,0,1,1,0,0
5f068ac5dbfd84dc29ddcaed35612f8e,0,0,0,0,0,0,5,5,5211,0
5f7765db55f94205964f6ba83cc7ea28,0,0,0,11,0,11,111,0,0,0
6042057db2700363a1edd1d3e552528d,0,0,0,102,205,3201010,10,1010,1510,0
60465b31547599e10db1052d389068cf,0,0,0,0,552,0,0,0,0,0
61112729366efd09e3e609919f2054be,0,0,0,0,1111111,1111111111,11111111111111,111111111111,1111,0
6184e258fc549e12c235a2bc10ae297e,0,0,0,0,2,0,5,10105,20205,0
62d861689bba706fd5d5d8a1b86b517c,0,0,0,0,222,311,23,0,0,0
62fb58e7bc8acec8cd1553a9aae5e8b0,0,0,0,0,0,0,1,0,0,0
6382943e6f91a1c53a0c982ec0536094,0,0,0,0,0,11,0,1,0,0
659e91b58e3ee95b4913f3fe4a6d3072,0,0,0,0,0,0,2,2,21,0
65fec9014f86ce619bb80bb8f87d8c08,0,0,0,0,0,0,0,205,562,0
662143b6776fd4b30e7d4b1a78a39768,0,0,0,1,1,1,1,11111,2121,0
6626085c716b1b96527e41a1567aac6d,0,0,0,0,0,0,1,0,0,0
66869e6fe7a915c8c8f363504a37fa0d,0,0,0,5,0,0,55,5,0,0
66a495b16b6727035cc7ea73dc20dfeb,0,0,0,21,0,1,11,1,21,0
66a4bd956f2e9b2610379fcf2865062d,0,0,0,0,5,0,225,0,0,0
67a2a166edc24b4f6777db254dd50503,0,0,0,515,1,1,1,1,11,0
6808615590e454d8d35f2a1a1aa0a9c7,0,0,0,0,1,111,1,111,111,0
68167674cb0624a2ead7e0a895339964,0,0,0,0,1,0,52,11,1,0
68500a1443fe9f05621deb6164a6d964,0,0,0,10,0,0,5,5,5510105,0
690534cfb7ce9e883e7a2156822a79b4,0,0,0,21,0,2,531,622,1,0
69a06b39f735f61dbff7ca534b046214,0,0,0,0,0,0,0,0,10,0
69cfc0b43f9c40410b85d1c844eb90a8,0,0,0,0,0,0,1,0,0,0
69e1923e09bf3d05e260663b646ac83a,0,0,0,11111111112111111,11111111111111111,11,0,0,0,0
6a7b77939ce62248df1dafc155d02a97,0,0,0,2020,0,0,20,0,0,0
6aa88f07097ea8fa2ca7a9b0f7f3eb22,0,0,0,11,3,0,11,21,111,0
6ac03e7e4d74143eb92f232fc23ca1f4,0,0,0,0,8,1,5,0,0,0
6c07445cedd467f6de8b48f91455f21f,0,0,0,0,11,0,51,2,0,0
6c1b1435a94926539c7213a9210f8153,0,0,0,0,1,0,0,1,0,0
6d21ae241d0a56b42c4d238ca15123a9,0,0,0,0,0,0,2,0,0,0
6d431382e652af97c903f62fbcfec84d,0,0,0,0,1,0,551,0,1,0
6e103f04aa3211169552e312a0da99ac,0,0,0,111,11,1,555,105,0,0
6e2ff211acbb7b15aa9cf671bf8d245d,0,0,0,5,0,1,11,111,0,0
6e32d0a348d1ad246daa4104318d95b4,0,0,0,5,0,0,0,0,0,0
6e663c138df5e7af4e67a6101e66435f,0,0,0,0,205,0,0,0,20,0
6f5a50d14f88a8bbed200d30e65ddf20,0,0,0,0,0,0,0,0,333,0
6f90dfca0e9d624026461189a54090b8,0,0,0,0,50,0,10,50,0,0
6ff32ebc06fd38e48423d007289a5841,0,0,0,0,0,0,0,20,0,0
6ffa4123f4dd549790e4f30cad18025f,0,0,0,0,0,0,55,5,0,0
7065a12be55f2d80504af87e2d88211b,0,0,0,0,0,0,0,1,1112,0
712dcb28554b9021286790a65c99b441,0,0,0,0,0,1,1,21,0,0
7217b86f207517a6376ba22c8d6ead47,0,0,0,5105132221,2221211,1121,5552125,5221,152121,0
72308329e159eba3d54bbcff04af13af,0,0,0,0,0,0,5,1,0,0
729e0a0a75015a8908d0989386f4454e,0,0,0,757575757575,757575,7575757575,0,75757575,757575757575,0
73020dfcf9dcd10974ae464a18a1bf27,0,0,0,0,0,0,0,71,0,0
742129811b7450317b449b71bfaee558,0,0,0,1,0,1,0,0,0,0
74f4085f083da6e2fb68a1fa67d3846a,0,0,0,0,0,0,0,1,11,0
74f5fb4df2da56e83d9d1849743ae73d,0,0,0,0,1,0,0,0,0,0
7574f2af2577f06011489d104630350e,0,0,0,0,0,2,5151,11,11,0
759deb22d66cc71e3bf61207dcd43193,0,0,0,1,11111,1,11,111,1,0
75ff3a8340bc095f7dec5163742e5365,0,0,0,111,111,0,1151,0,0,0
76bc144fc096349e0c4fb475407cac4e,0,0,0,0,0,0,0,5210,10,0
76d9ebdabc9289f652367e82f2371dc8,0,0,0,51111113,0,3,11111,5,1,0
770413b5ca4e9f17b8452e7f9091dfea,0,0,0,0,0,0,0,1010,0,0
77368046c2b6346302c395082062a7c4,0,0,0,0,0,0,0,1,2,0
774cb3920744d8e3e46e10ca91902e88,0,0,0,0,1222,33222321212,55533122112,55552211211,1075322,0
77fd438c48683f0868f73565e23c750a,0,0,0,1,0,0,0,0,0,0
7869289304ece530465a8520d96aebde,0,0,0,0,0,0,5,0,0,0
787d13b4fa1a0abbaa332d1fc26f3cba,0,0,0,5,555,55,55,51,53,0
798ef28b37f853e4ac46257f28f15b44,0,0,0,0,0,0,1,0,0,0
79b864b3fbe496b0efac3197185124ad,0,0,0,0,0,0,55,1051052,1052,0
79e8b73d71bf5f250c4bada72e0adee0,0,0,0,0,0,0,1,0,0,0
7a80615fb26922948d633269d57a5e8a,0,0,0,0,0,0,0,5,2,0
7aa88a8f213887428df1ff0b913a6858,0,0,0,0,510,0,5,0,0,0
7b9150839a482d011c28d565ad4f00c5,0,0,0,10,5,53,210105101033,10105,1010105,0
7c57f55a076a925c577afb6d1f928103,0,66,0,0,0,0,0,0,0,0
7c5adff3a58730b7e6144c73aa4316bf,0,0,0,22222,2,0,1,222231,222222,0
7d5c2e0e04f42483da19c2d9e9c7746e,0,0,0,22,2112,3221212,233342235,0,523232,0
7d8186ef45fbbdb8a12e98af8a4fb7c5,0,0,0,0,0,0,5,1,11,0
7db2aa38214037279601a314071d1972,0,0,0,555,5555,5,525555,55555555,0,0
7e4d347e37c283a2e7efac30dd69e66d,0,0,0,3,2,0,0,0,22,0
7e7a99a5150f96f9e6a70420621284d6,0,0,0,5,0,0,0,0,0,0
8015be5ee6b42e1f454eb754108acf14,0,0,0,0,0,0,0,5,65,0
8027076adaa4e15f9eedfae792ac7990,0,0,0,0,10,55533,55,10,553,0
808b95c7008ba4241493ae938e63012e,0,0,0,0,0,0,6,10,7,0
80b542f4dfcf43f414ff02b7582aea1c,0,0,0,43,6,6,63,0,3,0
80f1d53e91f9e64526f17c7dc8a26595,0,0,0,0,0,0,1,0,0,0
812e4aeab96bdc421791649b5a18ee02,0,0,0,0,24,0,0,0,0,0
8139825121fb3d2878344213dc204324,0,0,0,2433,433343,4434322223322,0,0,0,0
813af507d5b794147b2a65bb7495d023,0,0,0,1,1,0,0,0,0,0
815715720a60e6f24a27fce7f2a0a5ba,0,0,0,0,0,0,2,0,3,0
