ACCOUNT_NUM.hash,package,ratings
729e0a0a75015a8908d0989386f4454e,Web Family Xtra,0
2f1d8e2ad12e57fce4419845e23ddcbd,Web Starter,0.175347222
0d4098a262a8bed6ac4253f42dfc5769,Web LITE,0.072916667
fac45c3800fe3b9a28cc124f692a9f4a,Student Package 1,0
f53c729fa6b9ce93c6b4bb190efe41b3,Student Package 2,0
c689edeb7bb9db36383f01bada12ecce,Web LITE,0
3bde4ff74b0a8852847af576b81d4e15,Web Family Plus,0.145833333
bd9ab5150e50824620e1b6d2c2ae972c,Web Family Plus,0.151041667
b45981c573bce0223a1d2f0b97d66db4,Student Package 1,0.105902778
e7c47bee636e0a186d00e24dc5e41857,Web Starter,0.097222222
8ce4fe811face4a69aaed5826e59cba8,Web Starter,0.236111111
5dca0a71aafae66d0aa373f80d97edeb,Any Joy,0
62a613f1489781af6178b5e56512a672,Web LITE,0.197916667
9e1731d7cdce3947476dd8106907535e,Web Family Plus,0.614583333
1bd43575ddbaa82140d43b155784808a,Web LITE,0.189236111
2ea6c5e59c02744c036fe8ff6cccfb7c,Web Family Active,0.875
2f5f7b35fdde12af6267f46b2daec2e6,Web Starter,0.651041667
60fc80e0cdc89975d474afc0fa42f6f4,Broadband Experience Package,0
e05362129a94b4d31412c7d22a11e057,Student Package 1,0.199652778
8ab2a9ff09c00cc01fc8990280dca730,Web LITE,0
c85bcaee7ba741fc344b9574306f0662,Student Package 2,0.322916667
0e3e3cabb8b653645ad4268f318a80b8,Web Family Plus,0
e72cc247a26a713976e1cf4fd20421fa,Student Package 1,0.006944444
ed6066e74dafeb5fcfde89ae6ad17ed5,Web Family Plus,0.916666667
61ad08bec55b984dd1acef4f0986150b,Web LITE,0.253472222
9135d32e460f1607319ecd41d7e76ad6,Web PAL,0.190972222
39af5478e4375ef1f2ec9fcea8c78840,Student Package 1,0
6cb73a4f1974baf343039aac0c589734,Web PAL,0.838541667
226641ab4771b05de162a82bc0d75bf8,Abhimaana,0.138888889
569e72d3c325ae35b273dc559169cac2,Broadband Experience Package,0
4a72c857ed2e06a70d6fccc57f27993d,Web LITE,0
81cf6ed160d05bf34082bc2b265ddc02,Web PAL,0.65625
2c16dc261d26ff7d4c7d1259b9e5d7e8,Web LITE,0
ee2a1d078dae54446c8b83e33455aa5e,Web Starter,0.119791667
72468a66915ec413e33079dd8cc383e2,Web LITE,0.138888889
01f29baefa8fabbd7351cc8260f56323,Any Flix,0
f4e698e818f5aa0ea68e4d2736b9a816,Entree,0
787d13b4fa1a0abbaa332d1fc26f3cba,Any Flix,1
28beb61a8e870d8635737d2e10b9d613,Web LITE,0
d302d551390873082a868a0a15b76ea8,Web PAL,0.921875
9017aea7b442570443e5a1ab8d16df5e,Web Family Plus,0.342013889
9e3c8e8815ca1bcdc77f122d1d68741b,Web PAL,0
f380b9c1ef1726a4f469d961155886a1,Web Family Plus,0.510416667
365e4d4f6d27f2618dcc8b09eab41d92,Web Family Plus,0.234375
0e0268e1e384b079cb5bd87b0199e607,Web Starter,0.677083333
62ec977241520b1a0d5b0b35fd8f7973,Web LITE,0
77d169b4e0a41e72cb4c6b99d7e78a29,Web LITE,0.105902778
f6e3e4e70d26cb296461e33de68fe3a6,Web LITE,0.067708333
086bd45995b95b46a7a7b9dcfea9d296,Web Family Plus,0
6e960ca70505ead10e577c298a80cf0b,Web LITE,0
0c61b4444535d58f3194444baea16bc0,Web Family Plus,0.185763889
d3cf8cdf13a941170093e613bed925a3,Web Starter,0.229166667
d6073d97172c1e840e4bf68c878b7909,Web Family Xtra,0
1bdb808b0067543eac37a8650abfeb46,Web Pro,0.479166667
80628ffc64c5c9a43b84a4f66a9aabff,Web Starter,0.006944444
b5ca2763e687b2b5cf70f3282822c4d8,Web LITE,0.005208333
954b260034de32a9b8e1a1f164a65e0a,Web LITE,0.692708333
4107bf73ad824d7c5bc2a38552cf7f78,Web LITE,0
a018da7b58628d06c6f01d499f0bcbb9,Any Tide,0.354166667
26fa4a17cd478fcf33c1abb76c473b4b,Web Family Xtra,0.979166667
56627b488c93d1a8cb5e53950d9958b7,Web Family Plus,0.916666667
ee3713acf4da68cda726f61d3f1026f7,Any Beat,0.451388889
d284e1191d20b572d37e0d3eaff43e3b,Any Tide,0
890628cc09f46ecbc15e2c1a6f0d171c,Web Family Plus,0.916666667
7d6779b49216f67979b3fadaff334d0c,Web Family Plus,0.791666667
7574f2af2577f06011489d104630350e,Any Joy,0.399305556
83041b23b6ad1c70326076d1210fa761,z Sales End_Home,0.184027778
7583ed8b58f2a48e5ffc63839fb005e5,Broadband Experience Package,0
3a240dcd129198ea601e037670f5222e,Web LITE,0
3b2758bf5cacf0fb46e7beae38b827f5,Web Family Plus,0
559698752629d71ade5b54e984e58978,Web Family Plus,0.173611111
6b22b5149c936bbe09e79479a08bcfa7,Web LITE,0
276ed6852f3e00ab8a3486fe88ce73ca,SLT Staff Web Family Plus,0.776041667
b4c9df482a91dfb58a9c3c38720c2679,Web Family Plus,0.833333333
5cc7bb934cc6aa2e25c9973af21825c7,Web Starter,0.598958333
21cd57093a47e621c150f57d2a34d18f,Web LITE,0.03125
f89d6453483e44dbc00a7a09543a82e6,Web Starter,0.302083333
815715720a60e6f24a27fce7f2a0a5ba,Web Family Plus,0.9375
447500d30e3425e510983e17798f794f,Web Starter,0
6184e258fc549e12c235a2bc10ae297e,Web Family Plus,0.0625
