ACCOUNT_NUM.hash,package,ratings
a6f795fa3e3bf7daec81bd44a9d1b59f,PEO_ENTERTAINMENT,0.65
729e0a0a75015a8908d0989386f4454e,PEO_SILVER,0
9fb15a37e248fce31c7d0ed98aaaaaf1,PEO_SILVER,0.7125
0d4098a262a8bed6ac4253f42dfc5769,PEO_SILVER,0.49375
fac45c3800fe3b9a28cc124f692a9f4a,PEO_SILVER,0.86875
f53c729fa6b9ce93c6b4bb190efe41b3,PEO_SILVER,0.7125
4ddd3dc2b7a3fe4907f9806fc67ab627,PEO_SILVER,0.5875
3da406d3682d6e70b8246e1276bc485b,PEO_UTHAYAM,0.8875
bd9ab5150e50824620e1b6d2c2ae972c,PEO_SILVER,0
8ce4fe811face4a69aaed5826e59cba8,PEO_SILVER,0.86875
62a613f1489781af6178b5e56512a672,PEO_SILVER_PLUS,0.95
3a4dad085cd6d7c3a3cd2d08066fe72a,PEO_UTHAYAM,0.95
2ea6c5e59c02744c036fe8ff6cccfb7c,PEO_SILVER_PLUS,0.95
1ce18d35b2ddbbcc60b9948191ea6f54,PEO_SILVER,0.6375
2f5f7b35fdde12af6267f46b2daec2e6,PRANAMA,0.91875
60fc80e0cdc89975d474afc0fa42f6f4,PEO_SILVER_PLUS,0.91875
e05362129a94b4d31412c7d22a11e057,PEO_SILVER,0.48125
8ab2a9ff09c00cc01fc8990280dca730,PRANAMA,0.95
df7257328cbe465e049d30cf43dbb3a3,PEO_SILVER,0.175
61ad08bec55b984dd1acef4f0986150b,PEO_SILVER,0.825
37c11ba654e04b5a5ae67331377861b8,PEO_SILVER,0
642c5906212f5b67367c4696a89d33b3,PEO_UNNATHAM,0.8625
9135d32e460f1607319ecd41d7e76ad6,PEO_ENTERTAINMENT,0.83125
6cb73a4f1974baf343039aac0c589734,PEO_SILVER,0.53125
226641ab4771b05de162a82bc0d75bf8,PEO_SILVER,0
5012580e4e22ef4a34c514164caf9ea7,PEO_RELIGIOUS_PACKAGE,0
9c9b0255d776404746f570e4b342b121,PEO_SILVER,0.5625
ee2a1d078dae54446c8b83e33455aa5e,PEO_SILVER_PLUS,0.775
07cd6e4581f24168de8a6a6286c61e4c,PEO_SILVER,0.4375
72468a66915ec413e33079dd8cc383e2,PEO_SILVER,0.95
3ddb2d7662603871c7354efbf1e54826,PEO_UNNATHAM,0.85625
cc8d273c826b1c1a630bc259f84a9f5c,PEO_UTHAYAM,0
787d13b4fa1a0abbaa332d1fc26f3cba,PEO_SILVER,0.7125
28beb61a8e870d8635737d2e10b9d613,PEO_UTHAYAM,0.6875
9017aea7b442570443e5a1ab8d16df5e,PEO_SILVER,0.74375
006ff446f4e8c78e943f8ea7ee9f7388,PEO_SILVER,0.7125
