,ACCOUNT_NUM.hash,package,ratings
131782,7d07a567effafd829f44aee77a14c397,PEO_UTHAYAM,0.0
128526,b1f066a955cf712d2597ed802852d7b6,PEO_SILVER,1.7156032356413495e-06
138439,d0b46ca65031dcfb0bdea4599e42ed5f,PEO_ENTERTAINMENT_FTTH,1.200922264954496e-05
138435,a78531e73b68e3a4ab6da6655bc1e7b7,PEO_SILVER_FTTH,1.200922264954496e-05
72013,4651ade5fd1c24903b6268c7dc0e353a,PEO_SILVER_PLUS,3.53414266541785e-05
104672,872ac6eb8f2a19402aa0a3a671cc365e,PEO_SILVER,3.53414266541785e-05
123169,57846a7d7fdd678d35f4745dfa810406,PEO_SILVER,3.53414266541785e-05
61777,2a243fa99583b1df6c0d0f9d5f58d681,PEO_SILVER_FTTH,0.0014809059429088944
69262,3ec07cbcb16bfc7182ffdc031260fc90,PEO_SILVER_FTTH,0.0021973404690643905
156892,65746a6ba33daaa910861b870c36a059,PEO_SILVER,0.002926470459163666
15101,a83e24886557db41cb8476ca25db45f8,PEO_SILVER,0.004370662492829747
144425,0ad2fb9526fa953f396c4258ae533d2d,PEO_SILVER,0.005089155742867946
144420,3516bd4443fdf4b5b23452d7d6d3b39a,PEO_SILVER_FTTH,0.005089155742867946
149032,740ae89cf2f395d14618a832cf01d4ec,PEO_SILVER_FTTH,0.00580027189899307
33807,024794a550c4a0bcc590cfa098e987e8,PRANAMA,0.005815540767790339
50889,26db4d0868fd2a53fea2a007467d9101,PEO_SILVER,0.006390781147652458
64121,eaf8de959965ae4c4992ab2a145a6649,PRANAMA,0.006390781147652458
53208,9112860db8dcafaf6132455df6199554,PEO_SILVER_FTTH,0.0064116085709330925
156768,58ba15c01f8f1f529e2cf1019fdf20ac,PEO_TITANIUM,0.0064447197133810094
92018,dfdf098551205e2d624e49abdceb1c1c,PEO_SILVER_PLUS_FTTH,0.0064503125799292285
135639,fda4f59938f9c5c234962e076b47447a,PEO_SILVER,0.00645271442445905
15252,482f922374660c5047a7070aa6da3a90,PEO_SILVER_FTTH,0.006458547475460263
31570,5e40f4dba86a0f99beedb6bbae6ddb30,PEO_UNNATHAM,0.006458719035783822
67165,1deffb0cb8e0314d2c0d06edaac30a8b,PEO_SILVER,0.006460022894242967
5505,e859c38e2107d413f6282a42a68f1f45,PEO_SILVER_FTTH,0.0064707282584333115
