,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,Peo_VAS_Package,Peo_VAS_Month_Subscribed,Peo_VAS_Rental,Peo_VAS_One_Time_Charge,VAS_Count
183,05a8b460135d2e489f447a9834ff04c8,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_PeoTVGO Revenue code'],['2020-04'],[249],[0.0],1
184,05a9f450d21741939d443bc84b140037,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
185,05b25d2b3aa783763e571b5d23aa249e,daa74e4f9afbb374acc64969fe778808,dffc1c556d835833616d2e57b50ed4b2,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
186,05b44f1a81ec566af8c4a4df77a52d27,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['E_SLT PeoTV Service'],['2019-01'],[1099.0],[0.0],1
187,05b4ec5b75412105ba5e16c7e9310787,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['BB_PeoTVGO'],['2020-03'],[0],[0.0],1
188,05bf014e52ce9c1de7ca576a7f3cd1eb,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
189,05c4566bc35d8143d875457f8257c6d5,d1de331efccb97becd19f12d17774a7a,c764c97759c84ad6ca2eea63c60b6491,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
190,05c52351d81c256824f0e2d25240ca56,4026c5481a32cdb6f7042c011e0a4228,adf816f32c9683a8e4ec9220354d8b79,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
191,05c60c0ed15b5bf5c7df1246dfef2fb5,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
192,05c99b58c638294991ba0d7ebb6ce4e5,9d500033d4c2155507d7e6ab3603a913,56b3896d5265929758a69f387deeb4c9,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
193,05cb00ee9b31d32f35bb630386a4a09e,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['E_SLT PeoTV Service'],['2018-08'],[0],[0.0],1
194,05cfe8f4323299542b61cfdb60232095,5012580e4e22ef4a34c514164caf9ea7,dbe53f5c1bf8440ad1c1a4b95578deb1,['E_Video on Demand'],['2019-10'],[0],[0.0],1
195,05d1b32ef0e153ee5f175d860fa94f3a,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
196,05d79588419e041e5813d1bbe0f15121,31e60d049f1c2792fffc5c0fdb63193e,7d2a541a849f3d4ad6a4a2bc3bcbc9e5,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
197,05e0cba81525bce9a685b7adf6bcbb7f,9c9b0255d776404746f570e4b342b121,424e7079d85414fb57fa440d38294333,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
198,05e2307dfae16e8fba381bf886b6c891,d3733d05787b1347bd5d033ce7f2ab4c,1a53357aecc5d826aa1319fa67f34090,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
199,05e7f62ddd6a19420252f79b2a54c177,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
200,05e9a5a5111ccb83c3cc1a229523e6ac,8d8472d39b270801553f2d5e7c06fe22,f8743da5d0bff84f9440fb44fce1bdc1,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
201,05ecf6000169d49d54a964d3cca35459,ee2a1d078dae54446c8b83e33455aa5e,6a905be27a1a7f32df5c65f72a5e534a,['E_SLT PeoTV Service'],['2018-08'],[1099.0],[0.0],1
202,05ef83f82f55ac93cb3be805169aa431,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
203,05f14ffb7380a1332e3c0fd7d2e2a188,00126426420cdb4b1fe951ce5bb3c05a,a4481ed55c6f0a00c26bdafc171a34ea,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
204,05fd2930776f5f08f136925be3ca74ee,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['BB_PeoTVGO'],['2019-02'],[0],[0.0],1
