,ACCOUNT_NUM.hash,Phone_Number.hash,Phone_No_Count,PRODUCT_NAME,Product_Count
24,0fa1d2aeb386d52b8fb4b545f3d28b5d,['feebdc83f80ba16208b54c2902471410'],1,"['E_Video on Demand', 'E_TSTV']",2
25,0fb8c557d22f3fafbf573d925b8d5f96,['e8a7c602cffd42267a0e930b0225e7d8'],1,"['E_Video on Demand', 'E_TSTV']",2
26,0fe2e3b19fef0e99885d5f62cc37c22d,['e8c6b0301c38b32f026b856c30f74d71'],1,"['E_PeoTV Initiation', 'E_TSTV', 'E_Video on Demand']",3
27,1138b4f14a87a3cdd9d0e9cc6986f281,['c5722f1197db46f96000e28ef6c36da1'],1,"['V_SLT CLI', 'V_IDD', 'V_DQ Contact Details', 'V_Double VAS Bundle', 'V_Incoming Call Transfer', 'V_Call Forwarding Offline', 'V_Call Transfer Three way', 'V_Outgoing Call Memory', 'V_CLI presentation in call waiting', 'V_Incoming Call Memory', 'V_Call back on busy', 'V_Call holding', 'V_Call Forwarding by time', 'V_Anonymous call barring', 'V_Call park', 'AB_Megaline', 'AB_Citylink Loyalty Rewards']",17
28,1186aaba03e18b3dda89c75d611e8116,['16ee2310084e06316506d4aae80c07b3'],1,['AB_Service Vacation'],1
29,12565b41a78f681bca48f15e21c4b465,['7b8e391e97781e1a70d3ffcdefa03136'],1,"['AB_Megaline', 'V_IDD', 'V_Triple VAS Bundle', 'V_Call Barring - Outgoing', 'V_Call Barring', 'V_SLT CLI', 'V_DQ Contact Details', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'E_TSTV', 'E_Video on Demand']",17
30,12ea329f03483613d87fa70ab4018232,['369593b1095c7d8cc2fd2c08cf2a34a3'],1,"['V_Call park', 'V_Incoming Call Memory', 'V_Incoming Call Transfer', 'V_Call back on busy', 'V_CLI presentation in call waiting', 'V_Call Transfer Three way', 'V_Call Forwarding by time', 'V_Call holding', 'V_Outgoing Call Memory', 'V_Anonymous call barring', 'V_Call Forwarding Offline']",11
31,130f8b3e4d3060de58e2daaa2edd168e,['209c576641b4f941fa6be1daa08e2c03'],1,"['V_CLI presentation in call waiting', 'V_Call Transfer Three way', 'V_Call holding', 'V_Anonymous call barring', 'V_Call back on busy', 'V_Incoming Call Memory', 'V_Outgoing Call Memory', 'V_Call Forwarding by time', 'V_Incoming Call Transfer', 'V_Call park', 'V_Call Forwarding Offline']",11
32,141bb772e7009065289946c12f7f3e3a,['ffb9cb2e838925de5a75764fd59c6ea1'],1,"['AB_Megaline', 'V_SLT CLI', 'V_IDD', 'AB_Megaline Startup', 'V_DQ Contact Details']",5
33,14c0d047585a207b95283ef5a8e92183,['35184fcf8a3a4c3753d258a41f61d791'],1,"['V_IDD', 'V_SLT CLI', 'AB_Megaline', 'AB_Megaline Startup', 'V_DQ Contact Details']",5
