,ACCOUNT_NUM.hash,VAS,Month_Subscribed,Rental
84,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-01,
85,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-08,
86,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-08,
87,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-08,
88,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-08,
89,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-12,
90,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-12,
91,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-12,
92,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-12,
93,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-12,
94,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-12,
95,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-12,
96,02059e815d999bda708149ae263946d3,BB_Extra GB,2018-12,
97,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-03,
98,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-06,
99,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-06,
100,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-08,
101,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-08,
102,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-09,
103,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-09,
104,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-09,
105,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
106,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
107,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
108,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
109,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
110,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
111,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
112,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
113,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
114,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
115,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
116,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
117,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
118,02059e815d999bda708149ae263946d3,BB_Extra GB,2019-10,
