,ACCOUNT_NUM.hash,event_source.hash,CUSTOMER_REF.hash
11,0105eba65de307bc8ca366dac37aff7b,"['ae355ea5b406cce09114e4ca8eb11c51', '0bc4625290d731c825dd071c9f55289f']","['644fa9318f237902b82a8ba8f9ad00e2', '644fa9318f237902b82a8ba8f9ad00e2']"
12,01099829d2f7ba88392bc6417c928cd2,['c9f39647725c3588b6ac87e25aa3b9ba'],['0ce5a933a5dd695395ee91490d055026']
13,011fa9fca9d719f9e0cbf4c3f2b753bd,['905ea654f5b04c9b268435e1c0d2a7c5'],['f34fa63453bc9a3d58d548e573ebf6ee']
14,0141359554f0e9266388d09f4024361e,"['5b36830364aac0e222251e82733bc585', 'c28a24afee2690f6990e0cdd2758e3db']","['7970e27c60859891c46636246b885527', '7970e27c60859891c46636246b885527']"
15,015048b8f03c68d85c939862ac501b8c,['ade009febf914e4c050da3b47003ebf2'],['5cbef04ff608253d3d058a251985a822']
16,0173026de099e4e9f62f81b15c9adc59,['4df37d334094da96ba1dd4e08741188f'],['5450f699ed09ad2270d55ce3517842f4']
17,017320ba34a2b89470506f02bca413a4,['aee75106348eec5a5aab8291812ada07'],['63e39f9260679d06cb31d83e63827fd4']
18,019217a7950072f267ab6dcb0d790969,"['ff7e0f4edb7b39b683b9134af37fc4d3', 'e6ff3fc67c68bc661163724a41fb98e2', '1c20187f6af091c60b79fb0b4dbac333']","['865e9e87330795c7dba58b6eb1a20eb6', '865e9e87330795c7dba58b6eb1a20eb6', '865e9e87330795c7dba58b6eb1a20eb6']"
19,019f1c6f13d12c2264aef00739d54720,"['f5499a34b80abf3aa2eb0541fc4204ef', '982422f16991a84a0c19980e0590d979', '44a9d2009b664d161a04b763edd31799', '57b81d0416586bd7c83b01984759ea9e', 'e2f0164a0e07a5ef9e87d7dc6e92506e']","['c7cd854c3b210d2ebfb856e76801dca3', 'c7cd854c3b210d2ebfb856e76801dca3', 'c7cd854c3b210d2ebfb856e76801dca3', 'c7cd854c3b210d2ebfb856e76801dca3', 'c7cd854c3b210d2ebfb856e76801dca3']"
20,01bb03259f6c37bb844857858c1ffd40,['8c0914b400902c2bacbb8262d32f2eb1'],['6fba8f1244f32a9d467ac331a1aa4e9c']
21,01cbc9b050fa000d1de651103cd30fc3,"['70d7089a840256ad28912710e9cdc608', 'ba8e4bcf17a6ff5215b070d3c19d5ad0']","['d797157c0f11b328766549eb16196ebc', 'd797157c0f11b328766549eb16196ebc']"
22,01d4aea4b4e156705a9ff94e699e5aa3,"['facfe99fff1a63941380ad952a055621', 'd053977426d720e8811915b5bb1c9310']","['0ff1da035df5338a6400f0b6638314d2', '0ff1da035df5338a6400f0b6638314d2']"
