,ACCOUNT_NUM.hash,TARIFF_NAME,BB_Package,TARIFF_ID,BSS Name,Attribute,MEDIUM_INFO
4472,b9a3c0c50d4d15474e8ca0ea71ccc4cb,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4473,1dcbc3811fb83146008b053e1e2c537a,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4474,f04430b1cc0970e71b82322a5bf1f70f,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4475,9e1731d7cdce3947476dd8106907535e,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4476,83b2f83faba76ed481f026be3197caaa,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4477,95ac85c80ab64e565eaeb12a71855f06,Web Family Xtra,Web Family Xtra,25628.0,Web Surfer,Access Link Type,COPPER
4478,543a7fdb84336eae45592dfaeb0b26c0,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4479,b130cd91df3e55bb333d7d023c248e9c,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4480,522fdf261622fbee1b86a8fe69624d4a,Student Package 1,Student Package 1,25638.0,Student Package 1,Access Link Type,COPPER
4481,a51b26429dc990ff24dedbcd9316026e,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4482,16ba7704ef69803d3d41ebde44ad1c06,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4483,32ca2c171abcf646f3217751740f653c,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4484,e3d71a45dab9774e00a7826fbc2fe7d3,WEB FAMILY ACTIVE,Web Family Active,36272.0,WEB FAMILY ACTIVE,Access Link Type,COPPER
4485,9681bedc89c1a1cd446b7c20117af75b,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4486,8c8ed6fa766931d243fdc3b6c3509e75,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4487,0fc402a5a32a7f6adb52268707e1597d,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4488,4c045e2bf5e9484dfad65c963caee8aa,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4489,4c7a4769273c7a2eb4860a09f6376a70,z Sales End_Office 1IP,z Sales End_Office 1IP,25608.0,Office 1IP,Access Link Type,COPPER
4490,0491e3c0087e2834e21e720a511aee1f,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4491,48e7141a8b7601f2c6ea8c5f93bea6a6,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4492,59d105b73ddc0e4aea46d65c6bd4fc7f,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4493,2de913f8b8059369c8153351a2ba8e5c,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4494,f0fd9b5c9e3bfe5e4175264d0506d341,Entree,Entree,25652.0,Entrée,Access Link Type,COPPER
4495,b2586b6384892fd4ace5cab3440b97a6,VDSL Web Family Xtra,VDSL Web Family Xtra,25641.0,VDSL Web Surfer,Access Link Type,COPPER
4496,0bb7578df4cca43189acebbe179ca42c,Entree,Entree,25652.0,Entrée,Access Link Type,COPPER
4497,ca9236df85255ab0a727a7fbe8406b2b,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4498,338a964be497aa3ede3f7a1aa349e33c,Abhimaana,Abhimaana,25636.0,Abhimaana,Access Link Type,COPPER
4499,32547b6376b7e9f42c2328076332b743,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4500,aeead377f4855db6fb9bbaac34efdbb2,Broadband Experience Package,Broadband Experience Package,25623.0,Broadband Experience Package,Access Link Type,COPPER
4501,713aa417c219621eb60e65c2f05d3d22,Entree,Entree,25652.0,Entrée,Access Link Type,COPPER
4502,3c502de03c83a5ab2b0611acea658f02,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4503,6382943e6f91a1c53a0c982ec0536094,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4504,c9ef9c3ab40b8e20f3a8014a5751fe56,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4505,1b341a1ea385d9e0981ca79671c7ba4a,Abhimaana,Abhimaana,25636.0,Abhimaana,Access Link Type,COPPER
4506,03489485bb11b7474395412e1ecd952e,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4507,bd4d59633ffb8bd6fc82f3b4ada98fe9,SLT Staff Web Family Plus,SLT Staff Web Family Plus,25637.0,SLT Staff Web Family,Access Link Type,COPPER
4508,3fb47f0196e384c13045d8937d7b8155,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4509,25b2c30f24bbd86d7cca43e006f521fa,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4510,72b7365340c44fa53ad83a0266b31e17,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4511,0d13cae5090bed00d6cc45b8ff9bf12e,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4512,01f29baefa8fabbd7351cc8260f56323,Any Flix,Any Flix,36747.0,Any Flix,Access Link Type,LTE
4513,ce4efc4679f3275663fa3a02f8ec02ca,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4514,bb8488ef97f9f3ee8cde126452f35f00,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4515,76e4e73e1ab2d2e796b7e3cf560e9abb,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4516,3ff159880f605da24a6b5a2f942cae5c,Student Package 2,Student Package 2,25639.0,Student Package 2,Access Link Type,COPPER
4517,f7fa92c8fd86d44e3645806076bb7d21,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
