,Phone_Number.hash,PRODUCT_NAME,Product_Count,Product_Dict
15,0fb81a6ae000d344d6ef25795a0cf67e,"['V_Incoming Call Transfer', 'V_Anonymous call barring', 'V_Call Forwarding Offline', 'V_Outgoing Call Memory', 'V_Call park', 'V_Call back on busy', 'V_Incoming Call Memory', 'V_CLI presentation in call waiting', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding-Immediate']",16,"{'0fb81a6ae000d344d6ef25795a0cf67e': ['V_Incoming Call Transfer', 'V_Anonymous call barring', 'V_Call Forwarding Offline', 'V_Outgoing Call Memory', 'V_Call park', 'V_Call back on busy', 'V_Incoming Call Memory', 'V_CLI presentation in call waiting', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding-Immediate']}"
16,10e1d9bcd58ec432edf752fc355e9291,"['E_Video on Demand', 'E_PeoTV Initiation', 'E_TSTV']",3,"{'10e1d9bcd58ec432edf752fc355e9291': ['E_Video on Demand', 'E_PeoTV Initiation', 'E_TSTV']}"
17,133189b4fa62edf1a91c5be4cd36584d,"['V_Call Transfer Three way', 'V_Outgoing Call Memory', 'V_Call holding', 'V_Anonymous call barring', 'V_Call Forwarding Offline', 'V_Incoming Call Memory', 'V_Call Forwarding by time', 'V_Call park', 'V_Call back on busy', 'V_Incoming Call Transfer', 'V_CLI presentation in call waiting']",11,"{'133189b4fa62edf1a91c5be4cd36584d': ['V_Call Transfer Three way', 'V_Outgoing Call Memory', 'V_Call holding', 'V_Anonymous call barring', 'V_Call Forwarding Offline', 'V_Incoming Call Memory', 'V_Call Forwarding by time', 'V_Call park', 'V_Call back on busy', 'V_Incoming Call Transfer', 'V_CLI presentation in call waiting']}"
18,13c77dac97ca769c63afb6b42c9aa182,"['AB_Megaline', 'V_IDD', 'V_DQ Contact Details', 'V_Caller Line Identification', 'AB_Megaline Startup', 'V_Single VAS Bundle', 'V_Call Forwarding Offline', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Call Waiting', 'V_Incoming Call Memory', 'V_Outgoing Call Memory', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Hotline-Immediate', 'V_Hotline-Time Delayed', 'V_Hotline Service', 'V_Absentee service', 'V_Call holding', 'V_Call Forwarding by time']",21,"{'13c77dac97ca769c63afb6b42c9aa182': ['AB_Megaline', 'V_IDD', 'V_DQ Contact Details', 'V_Caller Line Identification', 'AB_Megaline Startup', 'V_Single VAS Bundle', 'V_Call Forwarding Offline', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Call Waiting', 'V_Incoming Call Memory', 'V_Outgoing Call Memory', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Hotline-Immediate', 'V_Hotline-Time Delayed', 'V_Hotline Service', 'V_Absentee service', 'V_Call holding', 'V_Call Forwarding by time']}"
19,13cfbfe920eddce097ebd5ae5b57db56,"['V_Call Forwarding', 'V_Hotline Service']",2,"{'13cfbfe920eddce097ebd5ae5b57db56': ['V_Call Forwarding', 'V_Hotline Service']}"
20,14aea01b3c966ebbac043c50ce14f65d,"['V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']",7,"{'14aea01b3c966ebbac043c50ce14f65d': ['V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']}"
21,14d95266bf271c1e659e766f8953ab26,"['V_SLT Voice Service', 'V_Single VAS Bundle', 'V_SLT CLI', 'V_DQ Contact Details', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']",12,"{'14d95266bf271c1e659e766f8953ab26': ['V_SLT Voice Service', 'V_Single VAS Bundle', 'V_SLT CLI', 'V_DQ Contact Details', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']}"
22,154aa58fd560d93f6435caeaf7ba4db5,['V_Basic Phone Installment'],1,{'154aa58fd560d93f6435caeaf7ba4db5': ['V_Basic Phone Installment']}
23,155a2049729884b079ccaa8aca315e09,"['V_DQ Contact Details', 'AB_Megaline', 'AB_Megaline Startup', 'V_IDD']",4,"{'155a2049729884b079ccaa8aca315e09': ['V_DQ Contact Details', 'AB_Megaline', 'AB_Megaline Startup', 'V_IDD']}"
24,16195107431d4bf91071113c02e7f959,['V_Basic Phone Installment'],1,{'16195107431d4bf91071113c02e7f959': ['V_Basic Phone Installment']}
