,ACCOUNT_NUM.hash,FTTH_Package,FTTH_Month_Subscribed,FTTH_Rental,FTTH_One_Time_Charge,Package_Type,MEDIUM
51,8015be5ee6b42e1f454eb754108acf14,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
52,80f1d53e91f9e64526f17c7dc8a26595,['AB Fiber Access Bearer'],['2019-08'],[],[],['Other'],['MC']
53,81b794726ed4bcf61fd0f0e058242058,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
54,827760640889bb2da8a01617903bfdeb,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
55,83041b23b6ad1c70326076d1210fa761,['AB Fiber Access Bearer'],['2020-02'],[],[],['Other'],['MC']
56,85895c8820fea2669cfe6bb13f2b3444,['AB Fiber Access Bearer'],['2017-11'],[],[],['Other'],['MC']
57,87f575e03fb0adef0f7bce5ca81568bc,['AB Fiber Access Bearer'],['2016-09'],[],[],['Other'],['MC']
58,8d8472d39b270801553f2d5e7c06fe22,['AB Fiber Access Bearer'],['2020-08'],[],[],['Other'],['MC']
59,8f91d0c8064a733faac1f9b458db2ff8,['AB Fiber Access Bearer'],['2017-03'],[],[],['Other'],['MC']
60,92aa8f1efdf84efe91cf109cb0ca4d3c,['AB Fiber Access Bearer'],['2019-10'],[],[],['Other'],['MC']
61,949e14e85d36002ffb954d42d3366936,['AB Fiber Access Bearer'],['2019-12'],[],[],['Other'],['MC']
62,95ac85c80ab64e565eaeb12a71855f06,['AB Fiber Access Bearer'],['2020-06'],[],[],['Other'],['MC']
63,9886d2e4e61e33d0a4388667c7bfc68c,['AB Fiber Access Bearer'],['2019-09'],[],[],['Other'],['MC']
64,9add9ec21eb9eefff97069a904cd9bd4,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
65,9c1b9f6d009bf32f4a978b98215763b6,['AB Fiber Access Bearer'],['2017-01'],[],[],['Other'],['MC']
66,9eba4b17c60fe871c9a746d63852c5ac,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
67,a1e2b9c2faf456eece4bb507dd044fcd,['AB Fiber Access Bearer'],['2020-01'],[],[],['Other'],['MC']
68,a26e41a86ce1a5530f93dc0191d545f5,['AB Fiber Access Bearer'],['2017-01'],[],[],['Other'],['MC']
69,a4ace850f2dd3b34c4f16ae6174a5603,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
70,a4eebc122a8f3dc2b2cd9bf6420cf008,['AB Fiber Access Bearer'],['2016-09'],[],[],['Other'],['MC']
71,a88cf429a820eb62f5859ad4369dd728,['AB Fiber Access Bearer'],['2019-07'],[],[],['Other'],['MC']
72,ab608dcb7ae6ba13441cc05cd94dc572,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
73,ad3e1509a6b796cf239c672206bb0e3e,['AB Fiber Access Bearer'],['2016-09'],[],[],['Other'],['MC']
74,af66a61a98c385584e3fccfd8dcc5412,['AB Fiber Access Bearer'],['2020-01'],[],[],['Other'],['MC']
75,b027d65390a0c725b9ce41e409f9797e,['AB Fiber Access Bearer'],['2020-08'],[],[],['Other'],['MC']
76,b2586b6384892fd4ace5cab3440b97a6,['AB Fiber Access Bearer'],['2017-08'],[],[],['Other'],['MC']
77,b30b53ebc3474896e19e08b36a4f6751,['AB Fiber Access Bearer'],['2019-11'],[],[],['Other'],['MC']
78,b3b852a39b3cdb5d170042cc434ba0b0,['AB Fiber Access Bearer'],['2020-02'],[],[],['Other'],['MC']
79,b5d8f1814c6e9dea26e0c25482431643,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
80,b9da9406bc3b4efd58ac783573fd1a31,['AB Fiber Access Bearer'],['2016-09'],[],[],['Other'],['MC']
81,ba80542b8846e51220926f9cc65545db,['AB Fiber Access Bearer'],['2020-06'],[],[],['Other'],['MC']
82,bb57e0928c585a797e231c828d41fd28,['AB Fiber Access Bearer'],['2016-09'],[],[],['Other'],['MC']
83,bc5cc066d49637aa1c7457d6a51d1995,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
