,ACCOUNT_NUM.hash,Megaline_Package,Megaline_Month_Subscribed,Megaline_Rental,Megaline_One_Time_Charge,Package_Type,MEDIUM
133,0aa7389fbcead860b37cb37eb5bed948,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
134,0ab1d3f6a699bab522f95be45fb5784e,"['SLT Voice Service', 'SLT PeoTV Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2018-08']",[899.0],[],"['Voice', 'PeoTV', 'Other']","['MC', 'MC', 'MC']"
135,0ab35e70cb75aaef16d93464a6c33717,"['AB Copper Access Bearer', 'SLT PeoTV Service', 'SLT Voice Service']","['2020-05', '2020-05', '2020-05']",[899.0],[],"['Other', 'PeoTV', 'Voice']","['MC', 'MC', 'MC']"
136,0ac4668ca6b197b3c299f4f34f9a7f65,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
137,0ae4252edfe28954eeb5c78058cc4e45,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2019-10']",[990.0],[],"['Other', 'Voice', 'BB']","['MC', 'MC', 'MC']"
138,0af54aadb6f99ea7dba03d4bba175478,"['AB Copper Access Bearer', 'SLT PeoTV Service', 'AB WireLess Access', 'BB SLT BroadBand Service', 'SLT Voice Service']","['2019-03', '2019-03', '2019-08', '2019-08', '2019-08']","[899.0, 0.0, 399.0]",[],"['Other', 'PeoTV', 'Other', 'BB', 'Voice']","['MC', 'MC', 'MC', 'MC', 'MC']"
139,0b1342373fb63905ba6d707f95fdd207,"['BB SLT BroadBand Service', 'AB Copper Access Bearer', 'SLT Voice Service', 'SLT PeoTV Service']","['2018-08', '2018-08', '2018-08', '2018-08']","[450.0, 899.0]",[],"['BB', 'Other', 'Voice', 'PeoTV']","['MC', 'MC', 'MC', 'MC']"
140,0b2b85398df3d712ad9a7b1bfeb16196,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
141,0b300c8c3361b0a14d02bdd05d475960,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
142,0b30d4336278a54fa764b233eeb754ee,"['AB Copper Access Bearer', 'SLT Voice Service']","['2020-08', '2020-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
143,0b62edaf6dcd0a22c6006bc5d080f12b,"['SLT Voice Service', 'BB SLT BroadBand Service']","['2018-08', '2019-12']",[450.0],[],"['Voice', 'BB']","['MC', 'MC']"
144,0b67187e4e1c4a1102593cab8002e211,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
145,0b6e8127c84ada80d1871f05a823c723,"['BB SLT BroadBand Service', 'SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2018-08']",[450.0],[],"['BB', 'Voice', 'Other']","['MC', 'MC', 'MC']"
146,0b73e10fbf074171ed31525372ace3c6,"['SLT PeoTV Service', 'AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-09', '2018-12']","[690.0, 450.0]",[],"['PeoTV', 'Other', 'Voice', 'BB']","['MC', 'MC', 'MC', 'MC']"
147,0b744258d351bbec14cc27349a6e3cbb,"['SLT PeoTV Service', 'AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08', '2018-08']",[899.0],[],"['PeoTV', 'Other', 'Voice']","['MC', 'MC', 'MC']"
