,event_source.hash,CUSTOMER_REF.hash,ACCOUNT_NUM.hash,GENDER,BIRTH_YEAR,AGE
63,a803bd93e44063527a235712ddb997fc,d9847d285ba1146d5fa0cce743776dbc,554c4ca38ac24684ddc6fe4676d79ff3,M,1956,65
65,7079a89137293feaafd259de84f5aac1,03e0c17c809fbbeed56b6c7a4d142559,1ac9cef55b7a012cf97dc32bf9d589d6,F,1964,57
71,eec1bf2bca59745c3e6feb9c193e6e5f,70a7607d5325f84c41442d5b9d1aa51d,62854b1de2ba639d46673a7c264c8d2c,F,1921,100
72,b5dcebaa00d63e11292cf57bd7e396ab,4aab12bc91779cc0390e49d70598acab,4e8120daecbd23bb5678260ce2a34a01,M,1963,58
77,70b48c56424f8b628c23613e46f0fe9d,8b61139b28243d5dd5b5c223cfb80961,125b839e826ef37a573afe8ab7f6efef,F,1951,70
82,8cf29ebd14dbb48831e3ac4a7235853e,02c408d381f08ff01137edbff7a8a76a,199f718bc367b33b58b3256e448d66b2,M,1944,77
84,1380df148a9bf64a80c3d0c6f17cc3c2,0aaa21e7378707510c0062e914b483e2,d29514c1942f86c2d62da4f6b758a598,M,1971,50
86,a547c99ac6157c009ee8ab0ffaaab2fe,39bbc3bd50f56f415a4602abd6f09727,835d8cac5b996e80dad21f431730f482,M,1977,44
88,7339adc7ee7be0f3976cd8505a4ca792,76e51bd7b276ffc013acb3cf14c3cc03,742129811b7450317b449b71bfaee558,M,1969,52
90,b777c16da00584efe8679f6889c9be48,3adcbb1c8657117e57ef40f441bec48d,75eae65cee3275e4236a43f3eb504cea,M,1961,60
91,3349d4c38377c02f40edead719c745a6,985f4e6ebf47996d5dd30376dfc7d509,2b64cea38e0b441603026542c99cba3f,F,1942,79
92,4e49fe775a00268d6613b5edd2108c23,231f537dd6df73360a013642d0baa664,2afa97ddcc2c4ce753252b909f00d884,F,1960,61
94,b63ea6d57dcbcbca227bafac507700b9,09b9e6529c2f487cd8d88bcb19c5c03f,62fb58e7bc8acec8cd1553a9aae5e8b0,F,1967,54
95,b419a502fc85f9336906870920804c9b,869680cdcf36436301747742ff107914,21b7591b8ab265a451e9a54724e06bad,F,1933,88
96,12495a1ade27b9e8ecb21d37ea056400,313a4cb0e456727aff70c49a1a59387f,341661394a2b289b9c47bafc518ad480,M,1976,45
98,2cbcbda3ebcac1d101ea1612bb75fb36,ed7232befca03d406729c77389c0360f,b053bbb012c17bbc54ea279c6d9fa034,M,1961,60
99,3e8683609c68fe0cc7771acb0f1716ce,38fbfa786bf8ca1501dec13f705bbce7,f652bbf22fb7b2685d06ca6774a324f0,M,1968,53
100,4a475b16493e3774d09eaf35ff514b97,df87723b07904aa3d7d31f5db24a4ec5,90a7ca76033cf7fc3c3cb906f45c401c,M,1980,41
104,72225b936170d0ca3a759990676552ab,5e89b67d0fbdfe84522211a085098be6,51b98b3f40f56f1c2429985e1c993322,M,1966,55
106,41b56665970d7fbab04eac445972445f,28518c28a7de91bdbe70815f78e0c911,7f50c7e60508e7df079f0c88350f9fa5,M,1969,52
107,9e9b57626a61d33c04d34c00f39ce741,6d3b5e2bd31bac9254d1e973327d34b7,084b4cd51df6fa08730ac4724433b913,M,1969,52
109,b297e76d28de5a7c47e6841bcb1fb371,3671aef12aa20d351d9e11f01ad0c956,6c4e0622eabb0cd72da7dee9ac9e1996,M,1963,58
110,906af8a8e58dd32b8263ef5a42abc9ef,b168c24ccb4ae72d04da3a1ee628ce90,c2a351bdfaff3a0be45ea06fd4783a83,F,1930,91
112,5bb4ab7e196df2b36ce244768f29de1e,dc70359d0872457b211a078167b6f34e,de8defa43bb9ac561c4f573f798f7b68,M,1967,54
113,36e89083dbdcbdf8df3dd6ea6c1f88e9,5312c955dc7de085108b9c06f5448fb7,bd91398f09b3329c05935cb51268c42d,M,1955,66
114,78a16cd55d5a8218c2287f9ad8d6ad58,4f3f2dad546c8f54809a155377259551,0a27eb888e84ff86bed9cc10a2908c27,M,1964,57
115,c7a4e7afba0cd1bba0d5e12536f057b1,c20474f0ebd22c2adc7c06c834ba8bfb,f0439db33d4bdf17746478548b3300d9,F,1940,81
116,4af24ff982e75aec85ad278efe577be7,be6367719d800802ac018c70c7069a2b,c847bd73884fcec16d98278f38e18964,M,1946,75
117,0e70111f460fc72e45e24d34a2593ef9,774aee22432ac2e847712a3231f7d9d6,51f8686066d2d0b31c315737bf9c024b,M,1979,42
118,9edab99e5e5789d6d10d13899459e628,7ffd60e372b2a993b003b050af2d161b,2e51108efbadaf209143f98e1edb9db4,M,1967,54
119,f449998e2e95d8fec73ee6ae798a3a4e,dcde0f1dea53b31e618d314608a45d7d,230182b1cd8b616fc65bb963e0bc5b33,M,1975,46
120,2c4d09877fa3471aa2273a06c05f1e05,ddfe0a8d92fe691667d6ab469e4e6273,81ad1fdab68e5723ecec6b1c040d3e6a,M,1950,71
